scen;Production;Storage
1;0,6640;0,1981
2;0,6754;0,1818
3;0,7110;0,1632
4;0,6713;0,1881
5;0,6811;0,1710
6;0,7210;0,1533
7;0,6803;0,1756
8;0,6993;0,1494
9;0,7412;0,1287
10;0,7072;0,1619
11;0,7126;0,1517
12;0,7513;0,1306
13;0,7154;0,1497
14;0,7166;0,1399
15;0,7636;0,1160
16;0,7138;0,1495
17;0,7227;0,1333
18;0,7608;0,1162
19;0,7323;0,1395
20;0,7374;0,1305
21;0,7766;0,1108
22;0,7300;0,1421
23;0,7376;0,1292
24;0,7777;0,1093
25;0,7309;0,1370
26;0,7402;0,1209
27;0,7812;0,1005
28;0,7437;0,1304
29;0,7514;0,1192
30;0,7872;0,1040
31;0,7414;0,1339
32;0,7483;0,1219
33;0,7897;0,1019
34;0,7396;0,1329
35;0,7523;0,1158
36;0,7909;0,0971
37;0,7505;0,1263
38;0,7560;0,1155
39;0,7990;0,0958
40;0,7464;0,1303
41;0,7635;0,1093
42;0,8006;0,0934
43;0,7457;0,1312
44;0,7606;0,1093
45;0,7959;0,0932
46;0,6625;0,1999
47;0,6760;0,1834
48;0,7103;0,1648
49;0,6707;0,1886
50;0,6810;0,1730
51;0,7202;0,1554
52;0,6806;0,1756
53;0,7052;0,1458
54;0,7438;0,1274
55;0,7089;0,1593
56;0,7196;0,1461
57;0,7509;0,1329
58;0,7142;0,1514
59;0,7223;0,1378
60;0,7630;0,1187
61;0,7142;0,1498
62;0,7241;0,1332
63;0,7648;0,1141
64;0,7345;0,1389
65;0,7405;0,1291
66;0,7761;0,1125
67;0,7322;0,1406
68;0,7425;0,1276
69;0,7669;0,1217
70;0,7324;0,1376
71;0,7373;0,1312
72;0,7616;0,1268
73;0,7435;0,1334
74;0,7475;0,1254
75;0,7828;0,1112
76;0,7422;0,1357
77;0,7483;0,1289
78;0,7701;0,1247
79;0,7396;0,1373
80;0,7445;0,1344
81;0,7569;0,1373
82;0,7481;0,1340
83;0,7539;0,1271
84;0,7790;0,1206
85;0,7464;0,1368
86;0,7565;0,1275
87;0,7732;0,1262
88;0,7408;0,1418
89;0,7521;0,1306
90;0,7713;0,1261
91;0,6418;0,2361
92;0,6577;0,2200
93;0,6748;0,2142
94;0,6588;0,2159
95;0,6558;0,2196
96;0,6781;0,2130
97;0,6725;0,2015
98;0,6751;0,1986
99;0,6933;0,1938
100;0,7050;0,1801
101;0,7081;0,1762
102;0,7289;0,1666
103;0,7057;0,1770
104;0,7047;0,1779
105;0,7295;0,1672
106;0,7157;0,1660
107;0,7179;0,1616
108;0,7470;0,1463
109;0,7386;0,1514
110;0,7387;0,1503
111;0,7586;0,1433
112;0,7372;0,1511
113;0,7362;0,1512
114;0,7602;0,1410
115;0,7375;0,1487
116;0,7425;0,1427
117;0,7670;0,1323
118;0,7579;0,1366
119;0,7570;0,1349
120;0,7871;0,1197
121;0,7531;0,1397
122;0,7607;0,1295
123;0,7854;0,1201
