scen;offshore_capex;onshore_capex;pv_capex;battery_capex;methanation_capex;offshore_opex;onshore_opex;pv_opex;methanation_opex
1;1747,5;747,5;211,7;50;575;34,95;22,425;4,4457;29,7
2;1747,5;747,5;211,7;50;1150;34,95;22,425;4,4457;59,3
3;1747,5;747,5;211,7;50;1725;34,95;22,425;4,4457;89
4;1747,5;747,5;211,7;100;575;34,95;22,425;4,4457;29,7
5;1747,5;747,5;211,7;100;1150;34,95;22,425;4,4457;59,3
6;1747,5;747,5;211,7;100;1725;34,95;22,425;4,4457;89
7;1747,5;747,5;211,7;150;575;34,95;22,425;4,4457;29,7
8;1747,5;747,5;211,7;150;1150;34,95;22,425;4,4457;59,3
9;1747,5;747,5;211,7;150;1725;34,95;22,425;4,4457;89
10;1747,5;747,5;317,55;50;575;34,95;22,425;8,8893;29,7
11;1747,5;747,5;317,55;50;1150;34,95;22,425;8,8893;59,3
12;1747,5;747,5;317,55;50;1725;34,95;22,425;8,8893;89
13;1747,5;747,5;317,55;100;575;34,95;22,425;8,8893;29,7
14;1747,5;747,5;317,55;100;1150;34,95;22,425;8,8893;59,3
15;1747,5;747,5;317,55;100;1725;34,95;22,425;8,8893;89
16;1747,5;747,5;317,55;150;575;34,95;22,425;8,8893;29,7
17;1747,5;747,5;317,55;150;1150;34,95;22,425;8,8893;59,3
18;1747,5;747,5;317,55;150;1725;34,95;22,425;8,8893;89
19;1747,5;747,5;423,4;50;575;34,95;22,425;8,8893;29,7
20;1747,5;747,5;423,4;50;1150;34,95;22,425;8,8893;59,3
21;1747,5;747,5;423,4;50;1725;34,95;22,425;8,8893;89
22;1747,5;747,5;423,4;100;575;34,95;22,425;8,8893;29,7
23;1747,5;747,5;423,4;100;1150;34,95;22,425;8,8893;59,3
24;1747,5;747,5;423,4;100;1725;34,95;22,425;8,8893;89
25;1747,5;747,5;423,4;150;575;34,95;22,425;8,8893;29,7
26;1747,5;747,5;423,4;150;1150;34,95;22,425;8,8893;59,3
27;1747,5;747,5;423,4;150;1725;34,95;22,425;8,8893;89
28;1747,5;747,5;529,25;50;575;34,95;22,425;8,8893;29,7
29;1747,5;747,5;529,25;50;1150;34,95;22,425;8,8893;59,3
30;1747,5;747,5;529,25;50;1725;34,95;22,425;8,8893;89
31;1747,5;747,5;529,25;100;575;34,95;22,425;8,8893;29,7
32;1747,5;747,5;529,25;100;1150;34,95;22,425;8,8893;59,3
33;1747,5;747,5;529,25;100;1725;34,95;22,425;8,8893;89
34;1747,5;747,5;529,25;150;575;34,95;22,425;8,8893;29,7
35;1747,5;747,5;529,25;150;1150;34,95;22,425;8,8893;59,3
36;1747,5;747,5;529,25;150;1725;34,95;22,425;8,8893;89
37;1747,5;747,5;635,1;50;575;34,95;22,425;13,335;29,7
38;1747,5;747,5;635,1;50;1150;34,95;22,425;13,335;59,3
39;1747,5;747,5;635,1;50;1725;34,95;22,425;13,335;89
40;1747,5;747,5;635,1;100;575;34,95;22,425;13,335;29,7
41;1747,5;747,5;635,1;100;1150;34,95;22,425;13,335;59,3
42;1747,5;747,5;635,1;100;1725;34,95;22,425;13,335;89
43;1747,5;747,5;635,1;150;575;34,95;22,425;13,335;29,7
44;1747,5;747,5;635,1;150;1150;34,95;22,425;13,335;59,3
45;1747,5;747,5;635,1;150;1725;34,95;22,425;13,335;89
46;2330;747,5;211,7;50;575;46,6;22,425;4,4457;29,7
47;2330;747,5;211,7;50;1150;46,6;22,425;4,4457;59,3
48;2330;747,5;211,7;50;1725;46,6;22,425;4,4457;89
49;2330;747,5;211,7;100;575;46,6;22,425;4,4457;29,7
50;2330;747,5;211,7;100;1150;46,6;22,425;4,4457;59,3
51;2330;747,5;211,7;100;1725;46,6;22,425;4,4457;89
52;2330;747,5;211,7;150;575;46,6;22,425;4,4457;29,7
53;2330;747,5;211,7;150;1150;46,6;22,425;4,4457;59,3
54;2330;747,5;211,7;150;1725;46,6;22,425;4,4457;89
55;2330;747,5;317,55;50;575;46,6;22,425;8,8893;29,7
56;2330;747,5;317,55;50;1150;46,6;22,425;8,8893;59,3
57;2330;747,5;317,55;50;1725;46,6;22,425;8,8893;89
58;2330;747,5;317,55;100;575;46,6;22,425;8,8893;29,7
59;2330;747,5;317,55;100;1150;46,6;22,425;8,8893;59,3
60;2330;747,5;317,55;100;1725;46,6;22,425;8,8893;89
61;2330;747,5;317,55;150;575;46,6;22,425;8,8893;29,7
62;2330;747,5;317,55;150;1150;46,6;22,425;8,8893;59,3
63;2330;747,5;317,55;150;1725;46,6;22,425;8,8893;89
64;2330;747,5;423,4;50;575;46,6;22,425;8,8893;29,7
65;2330;747,5;423,4;50;1150;46,6;22,425;8,8893;59,3
66;2330;747,5;423,4;50;1725;46,6;22,425;8,8893;89
67;2330;747,5;423,4;100;575;46,6;22,425;8,8893;29,7
68;2330;747,5;423,4;100;1150;46,6;22,425;8,8893;59,3
69;2330;747,5;423,4;100;1725;46,6;22,425;8,8893;89
70;2330;747,5;423,4;150;575;46,6;22,425;8,8893;29,7
71;2330;747,5;423,4;150;1150;46,6;22,425;8,8893;59,3
72;2330;747,5;423,4;150;1725;46,6;22,425;8,8893;89
73;2330;747,5;529,25;50;575;46,6;22,425;8,8893;29,7
74;2330;747,5;529,25;50;1150;46,6;22,425;8,8893;59,3
75;2330;747,5;529,25;50;1725;46,6;22,425;8,8893;89
76;2330;747,5;529,25;100;575;46,6;22,425;8,8893;29,7
77;2330;747,5;529,25;100;1150;46,6;22,425;8,8893;59,3
78;2330;747,5;529,25;100;1725;46,6;22,425;8,8893;89
79;2330;747,5;529,25;150;575;46,6;22,425;8,8893;29,7
80;2330;747,5;529,25;150;1150;46,6;22,425;8,8893;59,3
81;2330;747,5;529,25;150;1725;46,6;22,425;8,8893;89
82;2330;747,5;635,1;50;575;46,6;22,425;13,335;29,7
83;2330;747,5;635,1;50;1150;46,6;22,425;13,335;59,3
84;2330;747,5;635,1;50;1725;46,6;22,425;13,335;89
85;2330;747,5;635,1;100;575;46,6;22,425;13,335;29,7
