;Annualized fixed costs (€/kW.an);;;Annuity (€/kWh.an);Annulized fixed cost (€/kW.an);scenario vatiation;;;;;CAPEX (€/kW);;;CAPEX (€/kWh);CAPEX (€/kW);OPEX (€/kW.an);;;
scen;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;methanation
1;143.9889646;84.68328488;20.5668;5.316987546;71.70543182;-25%;-25%;-50%;-50%;-50%;1747,5;747,5;211,7;50;575;34,95;22,425;4,4457;29,7
2;143.9889646;84.68328488;20.5668;5.316987546;143.4108636;-25%;-25%;-50%;-50%;central;1747,5;747,5;211,7;50;1150;34,95;22,425;4,4457;59,3
3;143.9889646;84.68328488;20.5668;5.316987546;215.1162955;-25%;-25%;-50%;-50%;50%;1747,5;747,5;211,7;50;1725;34,95;22,425;4,4457;89
4;143.9889646;84.68328488;20.5668;10.63397509;71.70543182;-25%;-25%;-50%;central;-50%;1747,5;747,5;211,7;100;575;34,95;22,425;4,4457;29,7
5;143.9889646;84.68328488;20.5668;10.63397509;143.4108636;-25%;-25%;-50%;central;central;1747,5;747,5;211,7;100;1150;34,95;22,425;4,4457;59,3
6;143.9889646;84.68328488;20.5668;10.63397509;215.1162955;-25%;-25%;-50%;central;50%;1747,5;747,5;211,7;100;1725;34,95;22,425;4,4457;89
7;143.9889646;84.68328488;20.5668;15.95096264;71.70543182;-25%;-25%;-50%;50%;-50%;1747,5;747,5;211,7;150;575;34,95;22,425;4,4457;29,7
8;143.9889646;84.68328488;20.5668;15.95096264;143.4108636;-25%;-25%;-50%;50%;central;1747,5;747,5;211,7;150;1150;34,95;22,425;4,4457;59,3
9;143.9889646;84.68328488;20.5668;15.95096264;215.1162955;-25%;-25%;-50%;50%;50%;1747,5;747,5;211,7;150;1725;34,95;22,425;4,4457;89
10;143.9889646;84.68328488;29.89909335;5.316987546;71.70543182;-25%;-25%;-25%;-50%;-50%;1747,5;747,5;423,3;50;575;34,95;22,425;8,8893;29,7
11;143.9889646;84.68328488;29.89909335;5.316987546;143.4108636;-25%;-25%;-25%;-50%;central;1747,5;747,5;423,3;50;1150;34,95;22,425;8,8893;59,3
12;143.9889646;84.68328488;29.89909335;5.316987546;215.1162955;-25%;-25%;-25%;-50%;50%;1747,5;747,5;423,3;50;1725;34,95;22,425;8,8893;89
13;143.9889646;84.68328488;29.89909335;10.63397509;71.70543182;-25%;-25%;-25%;central;-50%;1747,5;747,5;423,3;100;575;34,95;22,425;8,8893;29,7
14;143.9889646;84.68328488;29.89909335;10.63397509;143.4108636;-25%;-25%;-25%;central;central;1747,5;747,5;423,3;100;1150;34,95;22,425;8,8893;59,3
15;143.9889646;84.68328488;29.89909335;10.63397509;215.1162955;-25%;-25%;-25%;central;50%;1747,5;747,5;423,3;100;1725;34,95;22,425;8,8893;89
16;143.9889646;84.68328488;29.89909335;15.95096264;71.70543182;-25%;-25%;-25%;50%;-50%;1747,5;747,5;423,3;150;575;34,95;22,425;8,8893;29,7
17;143.9889646;84.68328488;29.89909335;15.95096264;143.4108636;-25%;-25%;-25%;50%;central;1747,5;747,5;423,3;150;1150;34,95;22,425;8,8893;59,3
18;143.9889646;84.68328488;29.89909335;15.95096264;215.1162955;-25%;-25%;-25%;50%;50%;1747,5;747,5;423,3;150;1725;34,95;22,425;8,8893;89
19;143.9889646;84.68328488;39.23139049;5.316987546;71.70543182;-25%;-25%;central;-50%;-50%;1747,5;747,5;423,3;50;575;34,95;22,425;8,8893;29,7
20;143.9889646;84.68328488;39.23139049;5.316987546;143.4108636;-25%;-25%;central;-50%;central;1747,5;747,5;423,3;50;1150;34,95;22,425;8,8893;59,3
21;143.9889646;84.68328488;39.23139049;5.316987546;215.1162955;-25%;-25%;central;-50%;50%;1747,5;747,5;423,3;50;1725;34,95;22,425;8,8893;89
22;143.9889646;84.68328488;39.23139049;10.63397509;71.70543182;-25%;-25%;central;central;-50%;1747,5;747,5;423,3;100;575;34,95;22,425;8,8893;29,7
23;143.9889646;84.68328488;39.23139049;10.63397509;143.4108636;-25%;-25%;central;central;central;1747,5;747,5;423,3;100;1150;34,95;22,425;8,8893;59,3
24;143.9889646;84.68328488;39.23139049;10.63397509;215.1162955;-25%;-25%;central;central;50%;1747,5;747,5;423,3;100;1725;34,95;22,425;8,8893;89
25;143.9889646;84.68328488;39.23139049;15.95096264;71.70543182;-25%;-25%;central;50%;-50%;1747,5;747,5;423,3;150;575;34,95;22,425;8,8893;29,7
26;143.9889646;84.68328488;39.23139049;15.95096264;143.4108636;-25%;-25%;central;50%;central;1747,5;747,5;423,3;150;1150;34,95;22,425;8,8893;59,3
27;143.9889646;84.68328488;39.23139049;15.95096264;215.1162955;-25%;-25%;central;50%;50%;1747,5;747,5;423,3;150;1725;34,95;22,425;8,8893;89
